Subject;Test;Band;Eyes open;Eyes closed;Dots right
S3;Resting Open;Alpha Oz;0.012144385;0.021766945;0.010142131
S5;Resting Open;Alpha Oz;0.029445792000000002;0.041419063;0.03679834
S6;Resting Open;Alpha Oz;0.033499066;0.041029662;0.00936562
S10;Resting Open;Alpha Oz;0.02706676;0.045808467;0.014870356000000001
S11;Resting Open;Alpha Oz;0.041751919;0.043514736;0.012840236000000001
S13;Resting Open;Alpha Oz;0.013373023999999999;0.016593889;0.011542391
S14;Resting Open;Alpha Oz;0.028568202;0.04282063;0.015262592
S15;Resting Open;Alpha Oz;0.057186423;0.053800491;0.019323291
S16;Resting Open;Alpha Oz;0.012274149;0.0418476;0.013441377
S18;Resting Open;Alpha Oz;0.027663142;0.024999392000000002;0.018751118
S21;Resting Open;Alpha Oz;0.016313791;0.015689948999999998;0.011256601000000001
S22;Resting Open;Alpha Oz;0.01682737;0.037655159;0.014119936000000001
S23;Resting Open;Alpha Oz;0.032327642000000004;0.062237364;0.01447735
S24;Resting Open;Alpha Oz;0.01734064;0.048331297999999995;0.01025419
S27;Resting Open;Alpha Oz;0.008240571;0.013375021;0.008719447
S28;Resting Open;Alpha Oz;0.01241755;0.016048869;0.011344614
S29;Resting Open;Alpha Oz;0.011705094;0.01959371;0.007039042
S30;Resting Open;Alpha Oz;0.012288726000000002;0.017489003;0.009024883000000001
S31;Resting Open;Alpha Oz;0.008365093;0.017027337;0.007837054
S32;Resting Open;Alpha Oz;0.013380168000000001;0.018519325;0.013401738
S33;Resting Open;Alpha Oz;0.0115111;0.015535281000000001;0.00740312
S34;Resting Open;Alpha Oz;0.035013882;0.031710936;0.014225116999999999
S35;Resting Open;Alpha Oz;0.0042535920000000005;0.007891101999999999;0.005455558
S36;Resting Open;Alpha Oz;0.009906018;0.013356294;0.00982119
S3;Resting Open;Alpha O1 O2;0.03440572;0.056326602;0.024804357000000003
S5;Resting Open;Alpha O1 O2;0.07628784;0.105217585;0.10201267
S6;Resting Open;Alpha O1 O2;0.093823991;0.118601195;0.036003232
S10;Resting Open;Alpha O1 O2;0.07596863599999999;0.137557693;0.039064725
S11;Resting Open;Alpha O1 O2;0.119942787;0.144872639;0.030323191
S13;Resting Open;Alpha O1 O2;0.030431731;0.043163057000000005;0.029438702999999997
S14;Resting Open;Alpha O1 O2;0.06183089;0.11034519599999999;0.055759275999999997
S15;Resting Open;Alpha O1 O2;0.15738403;0.15186514;0.055559433
S16;Resting Open;Alpha O1 O2;0.037742082999999996;0.11554525;0.03781869
S18;Resting Open;Alpha O1 O2;0.057881164000000006;0.062449408;0.046446562000000004
S21;Resting Open;Alpha O1 O2;0.04465602;0.051837580999999994;0.033447194
S22;Resting Open;Alpha O1 O2;0.047904427;0.103871419;0.041468843
S23;Resting Open;Alpha O1 O2;0.084843785;0.150306098;0.045500025
S24;Resting Open;Alpha O1 O2;0.040304972;0.157020037;0.025625332999999997
S27;Resting Open;Alpha O1 O2;0.038273853;0.121144136;0.032538326
S28;Resting Open;Alpha O1 O2;0.051658492;0.09927083199999999;0.030395979
S29;Resting Open;Alpha O1 O2;0.092624784;0.138386699;0.024682012000000003
S30;Resting Open;Alpha O1 O2;0.058712920999999994;0.065560196;0.035191227
S31;Resting Open;Alpha O1 O2;0.030305153999999997;0.080770403;0.029146593999999998
S32;Resting Open;Alpha O1 O2;0.055867111;0.11123938800000001;0.048194854
S33;Resting Open;Alpha O1 O2;0.056511501;0.09491864300000001;0.025824938
S34;Resting Open;Alpha O1 O2;0.151633286;0.15076784199999999;0.051178002
S35;Resting Open;Alpha O1 O2;0.016128152;0.024357014;0.014506927
S36;Resting Open;Alpha O1 O2;0.060391811;0.10866199800000001;0.06683992700000001
S3;Resting Open;Alpha PO;0.139352681;0.20767143600000001;0.09450922099999999
S5;Resting Open;Alpha PO;0.252182516;0.326847015;0.30979256
S6;Resting Open;Alpha PO;0.293345665;0.41284670100000004;0.133934586
S10;Resting Open;Alpha PO;0.256713839;0.524517022;0.161067444
S11;Resting Open;Alpha PO;0.48776590200000003;0.67584923;0.10936663199999999
S13;Resting Open;Alpha PO;0.106597841;0.14184357;0.10840800099999999
S14;Resting Open;Alpha PO;0.21643143;0.432301986;0.193762707
S15;Resting Open;Alpha PO;0.46415317799999994;0.562091721;0.309513632
S16;Resting Open;Alpha PO;0.1267454;0.429045487;0.12011821800000001
S18;Resting Open;Alpha PO;0.19441556399999999;0.232814745;0.17526059100000002
S21;Resting Open;Alpha PO;0.162176609;0.194916153;0.13401042800000001
S22;Resting Open;Alpha PO;0.16817683;0.338419177;0.144652113
S23;Resting Open;Alpha PO;0.277296108;0.503583607;0.1682402
S24;Resting Open;Alpha PO;0.162976775;0.661172538;0.10628177
S27;Resting Open;Alpha PO;0.209673313;0.689072757;0.167999659
S28;Resting Open;Alpha PO;0.249925676;0.608979694;0.11931974599999999
S29;Resting Open;Alpha PO;0.423521672;0.684758416;0.088072086
S30;Resting Open;Alpha PO;0.292043627;0.30666010899999996;0.175469757
S31;Resting Open;Alpha PO;0.13207808199999999;0.276821098;0.115912646
S32;Resting Open;Alpha PO;0.25551538;0.587118574;0.213550143
S33;Resting Open;Alpha PO;0.23455661600000002;0.478401849;0.11736967599999999
S34;Resting Open;Alpha PO;0.611108019;0.662961266;0.28631244
S35;Resting Open;Alpha PO;0.080457105;0.124157108;0.06285934900000001
S36;Resting Open;Alpha PO;0.266413412;0.6685081429999999;0.371636096
