Subject;Test;Band;Eyes open;Eyes closed;Dots right
S3;Resting Open;Beta Oz;0.025248742999999997;0.032017288;0.027738414
S5;Resting Open;Beta Oz;0.018645704;0.028535292;0.018906265
S6;Resting Open;Beta Oz;0.017309674;0.013324856999999999;0.025681806
S10;Resting Open;Beta Oz;0.014292371000000002;0.006548071999999999;0.016200887
S11;Resting Open;Beta Oz;0.011634345;0.005305893000000001;0.019840893999999998
S13;Resting Open;Beta Oz;0.036021641;0.034203908;0.030237132000000003
S14;Resting Open;Beta Oz;0.018174808;0.010563008999999998;0.021162208
S15;Resting Open;Beta Oz;0.012781897;0.00892976;0.014896278
S16;Resting Open;Beta Oz;0.015579023999999999;0.013468487;0.019585256000000002
S18;Resting Open;Beta Oz;0.0266205;0.02268642;0.024688317
S21;Resting Open;Beta Oz;0.016704348;0.016216511;0.013344192
S22;Resting Open;Beta Oz;0.056051181;0.051565742000000005;0.053754625
S23;Resting Open;Beta Oz;0.018123656999999998;0.009587316;0.020039152
S24;Resting Open;Beta Oz;0.013556347;0.0036242379999999997;0.012273833999999999
S27;Resting Open;Beta Oz;0.007429715;0.004337897;0.015875234
S28;Resting Open;Beta Oz;0.011195752;0.005440213;0.010561976
S29;Resting Open;Beta Oz;0.008476761;0.00455784;0.017015505
S30;Resting Open;Beta Oz;0.015032307;0.01498129;0.019841003
S31;Resting Open;Beta Oz;0.012342842;0.021448255;0.013629512
S32;Resting Open;Beta Oz;0.013256249;0.005213848;0.015116431000000001
S33;Resting Open;Beta Oz;0.016693167;0.00938941;0.018143303
S34;Resting Open;Beta Oz;0.004271332;0.0038092509999999996;0.01280296
S35;Resting Open;Beta Oz;0.010007943;0.01176731;0.009808571
S36;Resting Open;Beta Oz;0.011439266000000002;0.0016319770000000002;0.006664804
S3;Resting Open;Beta O1 O2;0.079416145;0.097430192;0.066638562
S5;Resting Open;Beta O1 O2;0.048006565;0.075863252;0.070518833
S6;Resting Open;Beta O1 O2;0.06448383099999999;0.051578942999999995;0.115628232
S10;Resting Open;Beta O1 O2;0.055669499000000004;0.026312697000000003;0.05916029
S11;Resting Open;Beta O1 O2;0.032570893;0.013680267;0.061866036
S13;Resting Open;Beta O1 O2;0.08468028;0.090607721;0.074213087
S14;Resting Open;Beta O1 O2;0.054436799;0.033387272999999995;0.093591116
S15;Resting Open;Beta O1 O2;0.03726498;0.02754013;0.04449536900000001
S16;Resting Open;Beta O1 O2;0.065697937;0.045137433;0.078373326
S18;Resting Open;Beta O1 O2;0.063907279;0.066253068;0.066292748
S21;Resting Open;Beta O1 O2;0.060450517;0.062166417;0.050866488
S22;Resting Open;Beta O1 O2;0.09083721;0.075580466;0.091644608
S23;Resting Open;Beta O1 O2;0.068732187;0.034473488999999996;0.07912391
S24;Resting Open;Beta O1 O2;0.037784434;0.010422993;0.037618132
S27;Resting Open;Beta O1 O2;0.020514979;0.011751218;0.039910369
S28;Resting Open;Beta O1 O2;0.037386216;0.019287126;0.032083438
S29;Resting Open;Beta O1 O2;0.030085384;0.016072087;0.047773747000000005
S30;Resting Open;Beta O1 O2;0.07375603;0.060024876;0.072105207
S31;Resting Open;Beta O1 O2;0.03866993;0.06756791200000001;0.05681622
S32;Resting Open;Beta O1 O2;0.047678831;0.020194898;0.053753604
S33;Resting Open;Beta O1 O2;0.06997195099999999;0.047904402;0.067304574
S34;Resting Open;Beta O1 O2;0.015460421;0.013430535;0.043070835
S35;Resting Open;Beta O1 O2;0.033811318;0.040777601000000004;0.028278116000000002
S36;Resting Open;Beta O1 O2;0.028164526000000002;0.00727376;0.024351647999999997
S3;Resting Open;Beta PO;0.293113373;0.342243345;0.314663884
S5;Resting Open;Beta PO;0.155787744;0.23109961;0.242286618
S6;Resting Open;Beta PO;0.25720008;0.193513285;0.39117073
S10;Resting Open;Beta PO;0.236403755;0.112696049;0.253924355
S11;Resting Open;Beta PO;0.109046583;0.0524131;0.20577762300000002
S13;Resting Open;Beta PO;0.269494489;0.285338534;0.248814228
S14;Resting Open;Beta PO;0.255719192;0.159214937;0.34736132399999997
S15;Resting Open;Beta PO;0.123968643;0.09577325099999999;0.194558531
S16;Resting Open;Beta PO;0.241184175;0.160864286;0.271417685
S18;Resting Open;Beta PO;0.232405941;0.23858859699999999;0.259061007
S21;Resting Open;Beta PO;0.298792343;0.29206799;0.242241989
S22;Resting Open;Beta PO;0.21731391;0.17387220899999997;0.23511011399999998
S23;Resting Open;Beta PO;0.20804660600000002;0.101386332;0.269444101
S24;Resting Open;Beta PO;0.15466507;0.045843239;0.15347929300000002
S27;Resting Open;Beta PO;0.08712239;0.049733445999999994;0.153826083
S28;Resting Open;Beta PO;0.182149013;0.101201101;0.145898644
S29;Resting Open;Beta PO;0.11091132;0.061104445;0.162231759
S30;Resting Open;Beta PO;0.28123366;0.24397726100000003;0.31575790000000004
S31;Resting Open;Beta PO;0.1448539;0.17816010100000002;0.250394677
S32;Resting Open;Beta PO;0.203155731;0.089047656;0.21808546199999998
S33;Resting Open;Beta PO;0.32386140399999996;0.223108279;0.301333103
S34;Resting Open;Beta PO;0.06381350400000001;0.052359724;0.16387384800000002
S35;Resting Open;Beta PO;0.15773172900000001;0.186168273;0.10377120599999999
S36;Resting Open;Beta PO;0.09148513800000001;0.033490747;0.101433723
