Subject;Test;Band;Eyes open;Eyes closed;Dots
S3;Resting Open;Beta Oz;0.025248742999999997;0.032017288;0.019514573
S5;Resting Open;Beta Oz;0.018645704;0.028535292;0.021434172
S6;Resting Open;Beta Oz;0.017309674;0.013324856999999999;0.048181974
S10;Resting Open;Beta Oz;0.014292371000000002;0.006548071999999999;0.014013568
S14;Resting Open;Beta Oz;0.018174808;0.010563008999999998;0.021473942000000003
S15;Resting Open;Beta Oz;0.012781897;0.00892976;0.014797583999999999
S16;Resting Open;Beta Oz;0.015579023999999999;0.013468487;0.017591096
S21;Resting Open;Beta Oz;0.016704348;0.016216511;0.013251958999999999
S22;Resting Open;Beta Oz;0.056051181;0.051565742000000005;0.063224587
S23;Resting Open;Beta Oz;0.018123656999999998;0.009587316;0.022978866
S24;Resting Open;Beta Oz;0.013556347;0.0036242379999999997;0.011425943000000001
S27;Resting Open;Beta Oz;0.007429715;0.004337897;0.010114446
S28;Resting Open;Beta Oz;0.011195752;0.005440213;0.006936869
S29;Resting Open;Beta Oz;0.008476761;0.00455784;0.017226506000000003
S30;Resting Open;Beta Oz;0.015032307;0.01498129;0.016328956000000002
S32;Resting Open;Beta Oz;0.013256249;0.005213848;0.013460553
S33;Resting Open;Beta Oz;0.016693167;0.00938941;0.015695257
S34;Resting Open;Beta Oz;0.004271332;0.0038092509999999996;0.011814351
S35;Resting Open;Beta Oz;0.010007943;0.01176731;0.006762946999999999
S36;Resting Open;Beta Oz;0.011439266000000002;0.0016319770000000002;0.004548353
S3;Resting Open;Beta O1 O2;0.079416145;0.097430192;0.056040462
S5;Resting Open;Beta O1 O2;0.048006565;0.075863252;0.072531055
S6;Resting Open;Beta O1 O2;0.06448383099999999;0.051578942999999995;0.182485893
S10;Resting Open;Beta O1 O2;0.055669499000000004;0.026312697000000003;0.050295142
S14;Resting Open;Beta O1 O2;0.054436799;0.033387272999999995;0.09068069699999999
S15;Resting Open;Beta O1 O2;0.03726498;0.02754013;0.04348062900000001
S16;Resting Open;Beta O1 O2;0.065697937;0.045137433;0.071308386
S21;Resting Open;Beta O1 O2;0.060450517;0.062166417;0.047447816
S22;Resting Open;Beta O1 O2;0.09083721;0.075580466;0.101938585
S23;Resting Open;Beta O1 O2;0.068732187;0.034473488999999996;0.086287331
S24;Resting Open;Beta O1 O2;0.037784434;0.010422993;0.032115554
S27;Resting Open;Beta O1 O2;0.020514979;0.011751218;0.029486081
S28;Resting Open;Beta O1 O2;0.037386216;0.019287126;0.030018201
S29;Resting Open;Beta O1 O2;0.030085384;0.016072087;0.044730648
S30;Resting Open;Beta O1 O2;0.07375603;0.060024876;0.064446778
S32;Resting Open;Beta O1 O2;0.047678831;0.020194898;0.049552563
S33;Resting Open;Beta O1 O2;0.06997195099999999;0.047904402;0.052262612
S34;Resting Open;Beta O1 O2;0.015460421;0.013430535;0.038021459
S35;Resting Open;Beta O1 O2;0.033811318;0.040777601000000004;0.023993882
S36;Resting Open;Beta O1 O2;0.028164526000000002;0.00727376;0.018147389
S3;Resting Open;Beta PO;0.293113373;0.342243345;0.20746108
S5;Resting Open;Beta PO;0.155787744;0.23109961;0.250288054
S6;Resting Open;Beta PO;0.25720008;0.193513285;0.39878587
S10;Resting Open;Beta PO;0.236403755;0.112696049;0.22013056399999997
S14;Resting Open;Beta PO;0.255719192;0.159214937;0.32827096899999997
S15;Resting Open;Beta PO;0.123968643;0.09577325099999999;0.20177731399999999
S16;Resting Open;Beta PO;0.241184175;0.160864286;0.24935201899999998
S21;Resting Open;Beta PO;0.298792343;0.29206799;0.226867132
S22;Resting Open;Beta PO;0.21731391;0.17387220899999997;0.24855521100000003
S23;Resting Open;Beta PO;0.20804660600000002;0.101386332;0.279580337
S24;Resting Open;Beta PO;0.15466507;0.045843239;0.151305061
S27;Resting Open;Beta PO;0.08712239;0.049733445999999994;0.127007276
S28;Resting Open;Beta PO;0.182149013;0.101201101;0.158789194
S29;Resting Open;Beta PO;0.11091132;0.061104445;0.161570619
S30;Resting Open;Beta PO;0.28123366;0.24397726100000003;0.289282413
S32;Resting Open;Beta PO;0.203155731;0.089047656;0.223431257
S33;Resting Open;Beta PO;0.32386140399999996;0.223108279;0.307286756
S34;Resting Open;Beta PO;0.06381350400000001;0.052359724;0.144299559
S35;Resting Open;Beta PO;0.15773172900000001;0.186168273;0.110755622
S36;Resting Open;Beta PO;0.09148513800000001;0.033490747;0.080637019
