Subject;Test;Band;Eyes open;Eyes closed;Dots right
S3;Resting Open;Delta Oz;0.038131849;0.009603331;0.053495463
S5;Resting Open;Delta Oz;0.00726165;0.004737521;0.011542388999999998
S6;Resting Open;Delta Oz;0.008174438000000001;0.004962861;0.008451341
S10;Resting Open;Delta Oz;0.019860365;0.00284779;0.031364975
S11;Resting Open;Delta Oz;0.008332078;0.003175007;0.020065276
S13;Resting Open;Delta Oz;0.020206311;0.018332776999999998;0.024530175
S14;Resting Open;Delta Oz;0.024277496000000003;0.008959638;0.013276946000000001
S15;Resting Open;Delta Oz;0.004191558;0.002525223;0.011752156000000001
S16;Resting Open;Delta Oz;0.036566199;0.010626858999999999;0.029398342999999997
S18;Resting Open;Delta Oz;0.02393008;0.013124302;0.025670593
S21;Resting Open;Delta Oz;0.027410821000000002;0.011982843;0.040866893
S22;Resting Open;Delta Oz;0.028738121000000002;0.013751013999999999;0.036530985
S23;Resting Open;Delta Oz;0.018523961000000002;0.007579319;0.018678612
S24;Resting Open;Delta Oz;0.01720517;0.004780743;0.026902327
S27;Resting Open;Delta Oz;0.005270254;0.001662668;0.010958253000000001
S28;Resting Open;Delta Oz;0.025708214;0.008127315999999999;0.02129501
S29;Resting Open;Delta Oz;0.005182245;0.001488676;0.018547513
S30;Resting Open;Delta Oz;0.004012352;0.004899939;0.013465313999999999
S31;Resting Open;Delta Oz;0.015583284;0.004907055;0.010434408000000001
S32;Resting Open;Delta Oz;0.006019025;0.00196603;0.009862204
S33;Resting Open;Delta Oz;0.004994765;0.0020799679999999997;0.009415310999999999
S34;Resting Open;Delta Oz;0.0020346270000000002;0.001942137;0.007650678
S35;Resting Open;Delta Oz;0.013221543;0.012058261;0.008846515
S36;Resting Open;Delta Oz;0.006194246;0.0009786060000000001;0.00551222
S3;Resting Open;Delta O1 O2;0.049912199000000004;0.021311492999999997;0.05946605
S5;Resting Open;Delta O1 O2;0.036110573;0.014885321000000002;0.023675787
S6;Resting Open;Delta O1 O2;0.013077064;0.009755708;0.033732477000000004
S10;Resting Open;Delta O1 O2;0.026809141;0.009388465;0.034589648
S11;Resting Open;Delta O1 O2;0.016406852;0.005414451;0.041556377
S13;Resting Open;Delta O1 O2;0.039978074;0.03635415;0.04579964
S14;Resting Open;Delta O1 O2;0.032384738999999996;0.020674613999999997;0.020826838
S15;Resting Open;Delta O1 O2;0.007895677;0.004967415;0.020069016000000002
S16;Resting Open;Delta O1 O2;0.04511456900000001;0.014113667;0.032776634
S18;Resting Open;Delta O1 O2;0.026762871;0.024028524;0.028971523
S21;Resting Open;Delta O1 O2;0.03232083;0.024308114;0.051357327
S22;Resting Open;Delta O1 O2;0.038706165;0.018410112;0.042760957
S23;Resting Open;Delta O1 O2;0.018134627;0.012981128;0.031614552000000004
S24;Resting Open;Delta O1 O2;0.038380963;0.006641106;0.05754304
S27;Resting Open;Delta O1 O2;0.013558418999999999;0.004517662;0.031912991
S28;Resting Open;Delta O1 O2;0.041104638;0.010751468;0.05444463
S29;Resting Open;Delta O1 O2;0.018566931000000002;0.0045678490000000006;0.077216245
S30;Resting Open;Delta O1 O2;0.017012802;0.022022845;0.027928394
S31;Resting Open;Delta O1 O2;0.05635808;0.019564106;0.04508031
S32;Resting Open;Delta O1 O2;0.026958912;0.0074342819999999995;0.031117553
S33;Resting Open;Delta O1 O2;0.016056715;0.006641069;0.031039351
S34;Resting Open;Delta O1 O2;0.00538698;0.004458049;0.025105884
S35;Resting Open;Delta O1 O2;0.047343729;0.036382505;0.059929884
S36;Resting Open;Delta O1 O2;0.041715821;0.0042921240000000005;0.019323619
S3;Resting Open;Delta PO;0.127635255;0.083247387;0.131944364
S5;Resting Open;Delta PO;0.250503084;0.07156507200000001;0.06797291700000001
S6;Resting Open;Delta PO;0.05855033900000001;0.03754930000000001;0.072824264
S10;Resting Open;Delta PO;0.10751246199999999;0.049007967;0.112720554
S11;Resting Open;Delta PO;0.05340667;0.017799838999999998;0.17299139800000002
S13;Resting Open;Delta PO;0.145259757;0.129797089;0.150004775
S14;Resting Open;Delta PO;0.09534382699999999;0.073716623;0.07472826099999999
S15;Resting Open;Delta PO;0.04026507;0.02284573;0.09205725599999999
S16;Resting Open;Delta PO;0.14456522800000002;0.041614851;0.117792941
S18;Resting Open;Delta PO;0.09696266099999999;0.09226702;0.074339475
S21;Resting Open;Delta PO;0.110837594;0.12624333199999999;0.137297381
S22;Resting Open;Delta PO;0.120708673;0.073910828;0.10348405599999999
S23;Resting Open;Delta PO;0.050363360999999995;0.033260758;0.105739855
S24;Resting Open;Delta PO;0.197045766;0.025526891;0.22366947
S27;Resting Open;Delta PO;0.06000004900000001;0.021012898999999998;0.14998179
S28;Resting Open;Delta PO;0.195122746;0.042385075;0.23756649800000001
S29;Resting Open;Delta PO;0.151766727;0.017732211;0.296501041
S30;Resting Open;Delta PO;0.074820174;0.068081482;0.114093895
S31;Resting Open;Delta PO;0.245207117;0.160070303;0.19311523100000003
S32;Resting Open;Delta PO;0.159713551;0.037636866;0.166934689
S33;Resting Open;Delta PO;0.111273894;0.02860608;0.17256329999999998
S34;Resting Open;Delta PO;0.032604764;0.021553316;0.159532092
S35;Resting Open;Delta PO;0.33382592;0.243524619;0.443934349
S36;Resting Open;Delta PO;0.24801130600000001;0.025289651;0.108474255
