Subject;Test;Band;Eyes open;Eyes closed;Dots right
S3;Resting Open;Theta Oz;0.023325232999999997;0.01049631;0.030543455
S5;Resting Open;Theta Oz;0.010035258;0.006531984;0.013647121000000002
S6;Resting Open;Theta Oz;0.014020481000000001;0.00855661;0.012357578000000001
S10;Resting Open;Theta Oz;0.019072914;0.006527636;0.031407522
S11;Resting Open;Theta Oz;0.015296684;0.003843311;0.030346502
S13;Resting Open;Theta Oz;0.026280847000000003;0.019856003;0.025255696
S14;Resting Open;Theta Oz;0.020634885;0.01037674;0.015365903
S15;Resting Open;Theta Oz;0.010834532;0.005744762;0.021703702000000002
S16;Resting Open;Theta Oz;0.03409309;0.012927933999999999;0.028170643999999998
S18;Resting Open;Theta Oz;0.03406522;0.023296114;0.029494156
S21;Resting Open;Theta Oz;0.028183857000000003;0.020463738999999998;0.035373186
S22;Resting Open;Theta Oz;0.026284598;0.015765105;0.035618717
S23;Resting Open;Theta Oz;0.023405106000000002;0.007159861;0.018083769
S24;Resting Open;Theta Oz;0.023636574;0.004239337;0.027378937000000002
S27;Resting Open;Theta Oz;0.012860291000000001;0.002680347;0.016874732
S28;Resting Open;Theta Oz;0.022319952999999997;0.007008487;0.022393675
S29;Resting Open;Theta Oz;0.006176174;0.00197371;0.012352327
S30;Resting Open;Theta Oz;0.008826142;0.007512492;0.013331282
S31;Resting Open;Theta Oz;0.010392531;0.008437596;0.010091636999999999
S32;Resting Open;Theta Oz;0.011787764;0.004579393;0.01232955
S33;Resting Open;Theta Oz;0.005841061;0.0037744709999999997;0.010953412
S34;Resting Open;Theta Oz;0.003446588;0.0031365290000000003;0.009606587
S35;Resting Open;Theta Oz;0.009356044;0.010299634;0.008850156999999999
S36;Resting Open;Theta Oz;0.006967581;0.003293983;0.006656854
S3;Resting Open;Theta O1 O2;0.042786639;0.026790373;0.042697185
S5;Resting Open;Theta O1 O2;0.02170198;0.017417547;0.0256233
S6;Resting Open;Theta O1 O2;0.033343082999999996;0.022585806;0.040351115
S10;Resting Open;Theta O1 O2;0.033041994;0.014561255;0.04999413900000001
S11;Resting Open;Theta O1 O2;0.02530723;0.006957364000000001;0.061955737000000004
S13;Resting Open;Theta O1 O2;0.044048606;0.036660301;0.050840072
S14;Resting Open;Theta O1 O2;0.036355505;0.020964498;0.027823396
S15;Resting Open;Theta O1 O2;0.017235803;0.012710171999999999;0.041256905
S16;Resting Open;Theta O1 O2;0.055238743;0.025359846000000002;0.054807758
S18;Resting Open;Theta O1 O2;0.051733375;0.043665313;0.057326924
S21;Resting Open;Theta O1 O2;0.042954598;0.038190596;0.059829785
S22;Resting Open;Theta O1 O2;0.044281568;0.022830147999999998;0.05146868
S23;Resting Open;Theta O1 O2;0.046389907;0.016005237;0.046927378
S24;Resting Open;Theta O1 O2;0.055388243;0.005769961;0.062390187
S27;Resting Open;Theta O1 O2;0.070355707;0.012706779;0.06778699
S28;Resting Open;Theta O1 O2;0.031663843;0.014909263999999998;0.059982154
S29;Resting Open;Theta O1 O2;0.021744481;0.008333435;0.053027892
S30;Resting Open;Theta O1 O2;0.034985659;0.032451675;0.041605392000000005
S31;Resting Open;Theta O1 O2;0.042749518;0.024504712;0.044454121
S32;Resting Open;Theta O1 O2;0.033175261;0.017440235;0.036671914
S33;Resting Open;Theta O1 O2;0.020348701;0.016109767;0.037394931
S34;Resting Open;Theta O1 O2;0.01112078;0.008966884;0.031880817
S35;Resting Open;Theta O1 O2;0.041607499;0.048765212999999995;0.035434819
S36;Resting Open;Theta O1 O2;0.03516797;0.018374783000000002;0.040790869
S3;Resting Open;Theta PO;0.130309221;0.088513093;0.131955247
S5;Resting Open;Theta PO;0.091747021;0.074090259;0.067135816
S6;Resting Open;Theta PO;0.109769505;0.079766671;0.104946844
S10;Resting Open;Theta PO;0.12045892;0.06036522;0.186790538
S11;Resting Open;Theta PO;0.075910771;0.026134156000000002;0.226622338
S13;Resting Open;Theta PO;0.178178322;0.143472917;0.194479021
S14;Resting Open;Theta PO;0.146948073;0.073449957;0.102178225
S15;Resting Open;Theta PO;0.064233137;0.049289473;0.169048787
S16;Resting Open;Theta PO;0.175218266;0.084182865;0.18796964600000002
S18;Resting Open;Theta PO;0.15968100400000002;0.151421047;0.18907320800000002
S21;Resting Open;Theta PO;0.151069222;0.137553516;0.183982857
S22;Resting Open;Theta PO;0.135114346;0.063366393;0.133814698
S23;Resting Open;Theta PO;0.143976348;0.056198371;0.17486948100000002
S24;Resting Open;Theta PO;0.239699017;0.025813075;0.252348003
S27;Resting Open;Theta PO;0.465761461;0.06728356;0.297928758
S28;Resting Open;Theta PO;0.136745361;0.06571928;0.252507816
S29;Resting Open;Theta PO;0.115805016;0.040697727999999996;0.18720568399999998
S30;Resting Open;Theta PO;0.123548222;0.154127923;0.15410723
S31;Resting Open;Theta PO;0.259920638;0.133350771;0.211801745
S32;Resting Open;Theta PO;0.17141341300000001;0.09795713800000001;0.177451343
S33;Resting Open;Theta PO;0.12168413800000001;0.069301526;0.189615377
S34;Resting Open;Theta PO;0.063604838;0.044143077;0.191080174
S35;Resting Open;Theta PO;0.249572107;0.24924674800000002;0.198509094
S36;Resting Open;Theta PO;0.19033256699999998;0.114608505;0.236968703
