Subject;Test;Band;Eyes open;Eyes closed;Dots
S3;Resting Open;Theta Oz;0.023325232999999997;0.01049631;0.027671267000000003
S5;Resting Open;Theta Oz;0.010035258;0.006531984;0.022850363999999998
S6;Resting Open;Theta Oz;0.014020481000000001;0.00855661;0.00975214
S10;Resting Open;Theta Oz;0.019072914;0.006527636;0.029014502
S14;Resting Open;Theta Oz;0.020634885;0.01037674;0.014080137
S15;Resting Open;Theta Oz;0.010834532;0.005744762;0.021030574
S16;Resting Open;Theta Oz;0.03409309;0.012927933999999999;0.027399037999999997
S21;Resting Open;Theta Oz;0.028183857000000003;0.020463738999999998;0.033145825
S22;Resting Open;Theta Oz;0.026284598;0.015765105;0.029162504
S23;Resting Open;Theta Oz;0.023405106000000002;0.007159861;0.019961678
S24;Resting Open;Theta Oz;0.023636574;0.004239337;0.024139717999999998
S27;Resting Open;Theta Oz;0.012860291000000001;0.002680347;0.011690325
S28;Resting Open;Theta Oz;0.022319952999999997;0.007008487;0.015066358
S29;Resting Open;Theta Oz;0.006176174;0.00197371;0.011252034
S30;Resting Open;Theta Oz;0.008826142;0.007512492;0.009722333
S32;Resting Open;Theta Oz;0.011787764;0.004579393;0.013766757
S33;Resting Open;Theta Oz;0.005841061;0.0037744709999999997;0.009909483
S34;Resting Open;Theta Oz;0.003446588;0.0031365290000000003;0.009707002
S35;Resting Open;Theta Oz;0.009356044;0.010299634;0.008034417
S36;Resting Open;Theta Oz;0.006967581;0.003293983;0.005039704
S3;Resting Open;Theta O1 O2;0.042786639;0.026790373;0.046876329
S5;Resting Open;Theta O1 O2;0.02170198;0.017417547;0.027615558
S6;Resting Open;Theta O1 O2;0.033343082999999996;0.022585806;0.027884341
S10;Resting Open;Theta O1 O2;0.033041994;0.014561255;0.051051385
S14;Resting Open;Theta O1 O2;0.036355505;0.020964498;0.028692261
S15;Resting Open;Theta O1 O2;0.017235803;0.012710171999999999;0.034380898
S16;Resting Open;Theta O1 O2;0.055238743;0.025359846000000002;0.055785833
S21;Resting Open;Theta O1 O2;0.042954598;0.038190596;0.056034957999999996
S22;Resting Open;Theta O1 O2;0.044281568;0.022830147999999998;0.041771248
S23;Resting Open;Theta O1 O2;0.046389907;0.016005237;0.049246551
S24;Resting Open;Theta O1 O2;0.055388243;0.005769961;0.059960115999999994
S27;Resting Open;Theta O1 O2;0.070355707;0.012706779;0.06642453599999999
S28;Resting Open;Theta O1 O2;0.031663843;0.014909263999999998;0.046668539
S29;Resting Open;Theta O1 O2;0.021744481;0.008333435;0.041031886000000004
S30;Resting Open;Theta O1 O2;0.034985659;0.032451675;0.039661501
S32;Resting Open;Theta O1 O2;0.033175261;0.017440235;0.038776717
S33;Resting Open;Theta O1 O2;0.020348701;0.016109767;0.029746723
S34;Resting Open;Theta O1 O2;0.01112078;0.008966884;0.030722381
S35;Resting Open;Theta O1 O2;0.041607499;0.048765212999999995;0.037110528999999996
S36;Resting Open;Theta O1 O2;0.03516797;0.018374783000000002;0.033739197
S3;Resting Open;Theta PO;0.130309221;0.088513093;0.167532009
S5;Resting Open;Theta PO;0.091747021;0.074090259;0.085692925
S6;Resting Open;Theta PO;0.109769505;0.079766671;0.08182302400000001
S10;Resting Open;Theta PO;0.12045892;0.06036522;0.17204695399999997
S14;Resting Open;Theta PO;0.146948073;0.073449957;0.120471373
S15;Resting Open;Theta PO;0.064233137;0.049289473;0.139210348
S16;Resting Open;Theta PO;0.175218266;0.084182865;0.179518316
S21;Resting Open;Theta PO;0.151069222;0.137553516;0.175181809
S22;Resting Open;Theta PO;0.135114346;0.063366393;0.125371652
S23;Resting Open;Theta PO;0.143976348;0.056198371;0.171605812
S24;Resting Open;Theta PO;0.239699017;0.025813075;0.270776828
S27;Resting Open;Theta PO;0.465761461;0.06728356;0.374794988
S28;Resting Open;Theta PO;0.136745361;0.06571928;0.22647847899999998
S29;Resting Open;Theta PO;0.115805016;0.040697727999999996;0.202975245
S30;Resting Open;Theta PO;0.123548222;0.154127923;0.14464366
S32;Resting Open;Theta PO;0.17141341300000001;0.09795713800000001;0.200417743
S33;Resting Open;Theta PO;0.12168413800000001;0.069301526;0.20492735199999998
S34;Resting Open;Theta PO;0.063604838;0.044143077;0.167650893
S35;Resting Open;Theta PO;0.249572107;0.24924674800000002;0.239317802
S36;Resting Open;Theta PO;0.19033256699999998;0.114608505;0.20663627399999998
